Concept_A	Concept_B	Annotator_1	Annotator_2	Annotator_3	Annotator_4	Annotator_5	Annotator_6	Annotator_7	Annotator_8	Annotator_9	Annotator_10	Annotator_11	Annotator_12	Annotator_13
Random_graph	Mathematics	1			1								1	
Knowledge_representation_and_reasoning	Algorithm_design	1			1								3	
Game_theory	Linear_programming	3			3								3	
Natural_language_processing	Natural_language	1			1								3	
Polynomial	Computational_complexity_theory	2			2								2	
Systems_biology	Dynamical_system	3			1								3	
Computer_programming	Software_engineering	2			2								2	
Monte_Carlo_method	Computation	1			1								3	
Superscalar	Computer_architecture	1			1								1	
Statistics	Cryptography	3			3								2	
Operating_system	File_system	2			2								2	
Polynomial	Numerical_integration	2			2								2	
Distributed_computing	Database	3			3								3	
Mathematics	Dynamic_programming	2			2								3	
Foundations_of_mathematics	Algorithm	1			2								2	
Algorithm	Combinatorics	1			1								3	
Network_security	Authentication	1			2								2	
System_programming	Unix	1			1								1	
Combinatorics	Computational_science	2			2								3	
Data_mining	Data_warehouse	1			3								3	
Random_graph	Combinatorics	1			1								1	
Top-down_and_bottom-up_design	Compiler	3			1								3	
Software_development	Image_processing	3			3								3	
Mathematical_induction	Mathematical_proof	1			1								2	
Computer_vision	Image_processing	1			1								1	
Linear_programming	P_versus_NP_problem	3			3								3	
Monad_(functional_programming)	Exception_handling	3			3								1	
Computer_science	Number_theory	1			1								3	
Data_structure	Programming_language	2			1								2	
Computer_science	Run_time_(program_lifecycle_phase)	2			2								1	
Database	Data_(computing)	1			1								1	
Imperative_programming	Parallel_computing	3			2								3	
Machine_learning	Graph_theory	1			3								1	
Algorithm	Algorithm_design	2			2								2	
Statistics	Social_network	3			2								2	
Scalability	Distributed_computing	3			1								2	
String_(computer_science)	Abstract_data_type	1			2								3	
Type_system	Programming_language	1			1								2	
C_(programming_language)	Functional_programming	3			3								3	
Variable_(computer_science)	Programming_language	1			1								2	
Computer_programming	Logic	1			2								1	
Introduction_to_Algorithms	Modular_arithmetic	3			2								1	
Power_management	Microprocessor	3			3								2	
Robotics	Computer_network	3			1								2	
Image_analysis	Robotics	3			2								2	
Distributed_computing	Operating_system	1			1								1	
Monad_(functional_programming)	Functional_programming	1			1								1	
First-order_logic	Recursion	3			1								1	
Lexical_analysis	Formal_grammar	1			1								1	
Algorithm	Mathematics	1			1								1	
Database	Information_theory	3			3								1	
Computation	Theory_of_computation	2			2								3	
Programming_language	Software_design	2			2								2	
Tensor	Mathematics	1			1								1	
Game_theory	Computational_complexity_theory	3			3								3	
Computer_programming	Generic_programming	2			2								2	
Mathematical_optimization	Combinatorial_optimization	2			2								2	
Computer_science	Programming_language	2			2								2	
Formal_grammar	Compiler	2			1								2	
Computer_science	Lisp_(programming_language)	2			2								2	
Shortest_path_problem	NP-complete	1			3								1	
Graph_(mathematics)	Propositional_calculus	3			2								3	
Probability_theory	Algebra	1			1								1	
CPU_cache	Processor_register	1			3								2	
Compiler	Graph_theory	1			3								3	
Randomness	Probability_theory	2			1								2	
Deadlock	Computer_multitasking	1			1								1	
Aerospace	Robotics	3			3								1	
Input/output	Unix	3			1								2	
Graphical_user_interface	Computer	1			1								1	
Image_processing	MATLAB	3			3								3	
Computing	Computer_science	2			3								2	
Profiling_(computer_programming)	Algorithm	1			1								3	
Complexity_class	Algorithm	1			1								1	
Programming_language	Run_time_(program_lifecycle_phase)	3			2								2	
Relational_database	Computer_programming	1			1								1	
Software_development	Software_design	1			3								1	
Medicine	Problem_solving	3			3								3	
Computational_complexity_theory	Complexity	1			1								3	
Statistical_inference	Data	1			1								1	
Computer_graphics	Artificial_intelligence	3			3								3	
Probability_theory	Game_theory	2			2								2	
Boundary_value_problem	Nonlinear_system	3			1								1	
Martingale_(probability_theory)	Markov_chain	3			1								1	
Data_type	Data_structure	3			3								1	
Object-oriented_programming	Abstract_data_type	1			2								1	
Arithmetic_logic_unit	Digital_electronics	3			1								1	
Data_mining	Artificial_intelligence	1			1								1	
Divide_and_conquer_algorithm	Algorithm_design	1			1								1	
Functional_programming	Numerical_analysis	3			3								3	
Bioinformatics	Analysis_of_algorithms	1			1								1	
Unix	Computer	1			1								1	
Communications_protocol	Communication	1			1								1	
Algorithm_design	Theory_of_computation	1			2								3	
Programming_language	Logic_programming	3			2								1	
Computer_programming	Abstraction_(computer_science)	1			1								2	
Computer_science	Pushdown_automaton	2			2								2	
Robotics	Robot	1			1								1	
Linear_algebra	Mathematical_optimization	3			2								2	
Pipeline_(computing)	Computer_architecture	3			3								1	
Debugging	Programming_language	3			1								2	
Computer	Analysis_of_algorithms	3			2								3	
Data_structure	Numerical_analysis	3			3								3	
Computer_security	Mathematics	1			1								1	
