cmu_15-221,"Technical Communication for Computer Scientists. The course is designed for sophomore computer science majors to improve their  abilities in practical, professional communications (both written and oral).  It aims to help students compose clear, concise technical writings and oral  presentations for multi-level audiences.  Assignments include technical  definitions, descriptions, instructions, process explanations, abstracts,  memos, and research reports.  Assignments may incorporate recent computer  science research at Carnegie Mellon, projects in related technical courses,  and professional case studies.  Sophomores will likely find the course more useful if they have either had an internship or faculty-supervised research, including SURG projects prior to enrollment."
mit_6.641,"Electromagnetic Fields, Forces, and Motion. Electric and magnetic quasistatic forms of Maxwell's equations applied to dielectric, conduction, and magnetization boundary value problems. Electromagnetic forces, force densities, and stress tensors, including magnetization and polarization. Thermodynamics of electromagnetic fields, equations of motion, and energy conservation. Applications to synchronous, induction, and commutator machines; sensors and transducers; microelectromechanical systems; propagation and stability of electromechanical waves; and charge transport phenomena."
psu_CSE 551,"Numerical Solution of Ordinary Differential Equations. Methods for initial value and boundary value problems.  Convergence and stability analysis, automatic error control, stiff systems, boundary value problems."
msu_CSE 440,Introduction to Artificial Intelligence. Fundamental issues in intelligent systems. Knowledge representation and mechanisms of reasoning. Search and constraint satisfaction. Agents. Application areas of AI and current topics.
mit_6.UR,Undergraduate Research in Electrical Engineering and Computer Science. Individual research project arranged with appropriate faculty member or approved supervisor. Forms and instructions for the proposal and final report are available in the EECS Undergraduate Office.
iowa_CS:3110,"Introduction to Informatics. Fundamentals of computer science: algorithms, complexity, relational databases, systems concepts, programming in Python. Requirements: CS:1110 or graduate standing."
psu_CMPSC 311,Introduction to Systems Programming. Unix system programming in C; organization of programs and data; program analysis and support tools; software standards; common system functions.
mit_6.002,"Circuits and Electronics. Fundamentals of the lumped circuit abstraction. Resistive elements and networks, independent and dependent sources, switches and MOS devices, digital abstraction, amplifiers, and energy storage elements. Dynamics of first- and second-order networks; design in the time and frequency domains; analog and digital circuits and applications. Design exercises. Occasional laboratory. 4 Engineering Design Points."
psu_CMPSC 421,"Net-centric Computing. This course introduces JavaScript and AJAX for creating Rich Internet Applications, and XML for client-server communication and Web Services."
mit_6.853,"Topics in Algorithmic Game Theory. Presents research topics at the interface of computer science and game theory, with an emphasis on algorithms and computational complexity. Explores the types of game-theoretic tools that are applicable to computer systems, the loss in system performance due to the conflicts of interest of users and administrators, and the design of systems whose performance is robust with respect to conflicts of interest inside the system. Algorithmic focus is on algorithms for equilibria, the complexity of equilibria and fixed points, algorithmic tools in mechanism design, learning in games, and the price of anarchy."
